Pair_n,Trial_n,Collective,Leader,Follower,Pair_diff,Leader_collective_membership_benefit,Follower_collective_membership_benefit
2,5,0.18811526850011884,-0.0018020856172339395,0.18811526850011884,0.18991735411735278,-0.1863131828828849,0.0
2,6,0.13924151614454328,-0.0018020856172339395,0.13924151614454328,0.14104360176177722,-0.13743943052730934,0.0
2,7,0.0018020856172339395,-0.0018020856172339395,0.102605104000836,0.10440718961806994,0.0,0.10080301838360206
2,8,0.0008411395341650918,-0.0008411395341650918,0.102605104000836,0.10344624353500109,0.0,0.10176396446667091
2,9,0.00039243576829595117,-0.00039243576829595117,0.102605104000836,0.10299753976913195,0.0,0.10221266823254005
2,10,0.102605104000836,-0.0001831042558447793,0.102605104000836,0.10278820825668078,-0.10242199974499122,0.0
2,11,0.0001831042558447793,-0.0001831042558447793,0.07532888606336652,0.0755119903192113,0.0,0.07514578180752174
2,12,8.535263841313867e-05,-8.535263841313867e-05,0.07532888606336652,0.07541423870177966,0.0,0.07524353342495338
2,13,3.981468980474023e-05,-3.981468980474023e-05,0.07532888606336652,0.07536870075317126,0.0,0.07528907137356178
2,14,0.07532888606336652,-1.8714645554251952e-05,0.07532888606336652,0.07534760070892077,-0.07531017141781227,0.0
2,15,1.8714645554251952e-05,-1.8714645554251952e-05,0.05514112070348798,0.05515983534904223,0.0,0.055122406057933726
2,16,8.701065231986327e-06,-8.701065231986327e-06,0.05514112070348798,0.055149821768719964,0.0,0.05513241963825599
2,17,4.171112229056639e-06,-4.171112229056639e-06,0.05514112070348798,0.055145291815717035,0.0,0.05513694959125892
2,18,1.7869264380410144e-06,-1.7869264380410144e-06,0.05514112070348798,0.05514290762992602,0.0,0.05513933377704994
2,19,8.332521216347644e-07,-8.332521216347644e-07,0.05514112070348798,0.05514195395560961,0.0,0.05514028745136634
2,20,4.756242529824206e-07,-4.756242529824206e-07,0.05514112070348798,0.05514159632774096,0.0,0.055140645079234996
2,21,2.3720567388085811e-07,-2.3720567388085811e-07,0.05514112070348798,0.05514135790916186,0.0,0.0551408834978141
2,22,0.05514112070348798,1.2129052207043856e-09,0.05514112070348798,0.05514111949058276,-0.05514111949058276,0.0
2,23,1.2129052207043856e-09,1.2129052207043856e-09,0.040271579773693666,0.040271578560788446,0.0,0.040271578560788446
2,24,1.1799638433007686e-07,-1.1799638433007686e-07,0.040271579773693666,0.040271697770078,0.0,0.040271461777309336
2,25,1.2129052207043856e-09,1.2129052207043856e-09,0.040271579773693666,0.040271578560788446,0.0,0.040271578560788446
3,0,0.1887220541275274,0.38839057836156554,-0.1887220541275274,0.42288736751090705,0.19966852423403814,0.0
3,1,0.38839057836156554,0.38839057836156554,-0.10508493578798883,0.4934755141495544,0.0,-0.2833056425735767
3,2,0.10508493578798883,0.2401680127106256,-0.10508493578798883,0.34525294849861443,0.13508307692263677,0.0
3,3,0.2401680127106256,0.2401680127106256,-0.06015555060274713,0.30032356331337273,0.0,-0.18001246210787847
3,4,0.14178339395147033,0.14178339395147033,-0.06015555060274713,0.20193894455421746,0.0,-0.0816278433487232
3,5,0.08103517446141906,0.08103517446141906,-0.06015555060274713,0.1411907250641662,0.0,-0.020879623858671925
3,6,0.045368947120720815,0.045368947120720815,-0.06015555060274713,0.10552449772346795,0.0,0.014786603482026317
3,7,0.025088705154473256,0.025088705154473256,-0.06015555060274713,0.08524425575722039,0.0,0.035066845448273876
3,8,0.013775743576104116,0.013775743576104116,-0.06015555060274713,0.07393129417885125,0.0,0.046379807026643016
3,9,0.00753406438451476,0.00753406438451476,-0.06015555060274713,0.06768961498726189,0.0,0.05262148621823237
3,10,0.004111208053643178,0.004111208053643178,-0.06015555060274713,0.06426675865639031,0.0,0.056044342549103954
3,11,0.0022408143005914205,0.0022408143005914205,-0.06015555060274713,0.06239636490333855,0.0,0.05791473630215571
3,12,0.0012206212006158346,0.0012206212006158346,-0.06015555060274713,0.06137617180336297,0.0,0.0589349294021313
3,13,0.0006646290741509908,0.0006646290741509908,-0.06015555060274713,0.06082017967689812,0.0,0.05949092152859614
3,14,0.00036183747869200644,0.00036183747869200644,-0.06015555060274713,0.06051738808143914,0.0,0.059793713124055126
3,15,0.0001968518219537252,0.0001968518219537252,-0.06015555060274713,0.06035240242470086,0.0,0.05995869878079341
3,16,0.00010720643621153769,0.00010720643621153769,-0.06015555060274713,0.06026275703895867,0.0,0.060048344166535594
3,17,5.82114182061666e-05,5.82114182061666e-05,-0.06015555060274713,0.0602137620209533,0.0,0.060097339184540965
3,18,0.06015555060274713,3.174695592589316e-05,-0.06015555060274713,0.060187297558673025,-0.06012380364682124,0.0
3,19,3.174695592589316e-05,3.174695592589316e-05,-0.03493825590975397,0.03497000286567986,0.0,0.034906508953828075
3,20,1.720342260069785e-05,1.720342260069785e-05,-0.03493825590975397,0.034955459332354666,0.0,0.03492105248715327
3,21,9.216400200795505e-06,9.216400200795505e-06,-0.03493825590975397,0.034947472309954764,0.0,0.03492903950955317
3,22,5.044075066518161e-06,5.044075066518161e-06,-0.03493825590975397,0.034943299984820486,0.0,0.03493321183468745
3,23,2.7790985650533173e-06,2.7790985650533173e-06,-0.03493825590975397,0.03494103500831902,0.0,0.034935476811188915
3,24,1.706214959096286e-06,1.706214959096286e-06,-0.03493825590975397,0.034939962124713064,0.0,0.03493654969479487
3,25,7.525406426900361e-07,7.525406426900361e-07,-0.03493825590975397,0.03493900845039666,0.0,0.03493750336911128
4,0,0.4273836345548302,0.18345513733296526,0.4273836345548302,0.24392849722186494,-0.24392849722186494,0.0
4,1,0.18345513733296526,0.18345513733296526,0.295500251757589,0.11204511442462373,0.0,0.11204511442462373
4,2,0.053016690334369065,0.053016690334369065,0.295500251757589,0.24248356142321992,0.0,0.24248356142321992
4,3,0.016084460338641526,0.016084460338641526,0.295500251757589,0.27941579141894746,0.0,0.27941579141894746
4,4,0.004942444881488206,0.004942444881488206,0.295500251757589,0.2905578068761008,0.0,0.2905578068761008
4,5,0.295500251757589,0.0015243569221986553,0.295500251757589,0.29397589483539033,-0.29397589483539033,0.0
4,6,0.0015243569221986553,0.0015243569221986553,0.21013221453377307,0.2086078576115744,0.0,0.2086078576115744
4,7,0.00047090443043840136,0.00047090443043840136,0.21013221453377307,0.20966131010333466,0.0,0.20966131010333466
