Pair_n,Trial_n,Collective,Leader,Follower,Pair_diff,Leader_collective_membership_benefit,Follower_collective_membership_benefit
1,0,0.16877449806452993,0.2837020809646915,-0.09938986203584688,0.3830919430005384,0.11492758290016158,-0.06938463602868306
1,1,0.10094504411937011,0.1952764446731876,-0.1191615571728708,0.3144380018460584,0.0943314005538175,0.018216513053500694
1,2,0.05952684636832484,0.14119166684115636,-0.1310244014016153,0.27221606824277167,0.08166482047283152,0.07149755503329047
1,3,0.03479497488261463,0.1088642532821964,-0.13803334138307588,0.24689759466527228,0.07406927839958177,0.10323836650046125
1,4,0.020230198462021454,0.08981532406771886,-0.14213509461793916,0.23195041868565802,0.0695851256056974,0.12190489615591771
1,5,0.011725050766480116,0.07868785214389074,-0.14452148578081148,0.2232093379247022,0.06696280137741062,0.13279643501433136
1,6,0.006783313114655245,0.07222122502291906,-0.1459051480046274,0.21812637302754645,0.06543791190826381,0.13912183488997215
1,7,0.003919879157555387,0.0684737617966007,-0.1467058470002176,0.2151796087968183,0.06455388263904531,0.1427859678426622
1,8,0.0022639906001213177,0.06630653691256749,-0.14716861746225374,0.21347515437482123,0.06404254631244617,0.14490462686213243
1,9,0.0013069635224463088,0.06505388569796788,-0.1474358548871042,0.21248974058507208,0.06374692217552158,0.1461288913646579
1,10,0.0007543152165534264,0.06433052372897374,-0.1475901713124277,0.21192069504140143,0.06357620851242032,0.14683585609587427
1,11,0.0004355465960623507,0.06391329121554601,-0.14767919084939973,0.21159248206494574,0.06347774461948366,0.14724364425333739
1,12,0.0002513771844030628,0.06367225003207433,-0.14773065946016328,0.2114029094922376,0.06342087284767127,0.1474792822757602
1,13,0.00014516468764557734,0.06353325200045812,-0.14776037237558381,0.21129362437604193,0.06338808731281254,0.14761520768793823
1,14,8.362289191512357e-05,0.06345266652072179,-0.14777747890863435,0.21123014542935614,0.06336904362880666,0.14769385601671922
1,15,4.827733756302202e-05,0.06340641331637609,-0.14778737327966707,0.21119378659604315,0.06335813597881307,0.14773909594210405
1,16,2.805348159084023e-05,0.06337994885409581,-0.14779303572092073,0.21117298457501654,0.06335189537250498,0.14776498223932988
1,17,1.6037185204048274e-05,0.06336421322787511,-0.14779637358102815,0.21116058680890326,0.06334817604267107,0.1477803363958241
1,18,9.298880112263916e-06,0.06335539174044835,-0.14779825112733858,0.21115364286778693,0.06334609286033609,0.14778895224722632
1,19,5.463321220956774e-06,0.06335038495028722,-0.14779935381326692,0.21114973876355414,0.06334492162906627,0.14779389049204597
1,20,3.272850525431678e-06,0.063347523927338,-0.14779997966203706,0.21114750358937506,0.06334425107681257,0.14779670681151164
1,21,1.821477425190468e-06,0.06334561657870519,-0.1478003670922281,0.2111459836709333,0.06334379510127999,0.1477985456148029
1,22,1.2582135322201926e-06,0.06334490132296788,-0.14780057570848482,0.2111454770314527,0.06334364310943566,0.1477993174949526
1,23,7.217717290161629e-07,0.06334418606723058,-0.14780069491777437,0.21114488098500495,0.06334346429550156,0.14779997314604534
1,24,5.191159367957943e-07,0.06334394764865148,-0.14780081412706392,0.2111447617757154,0.06334342853271469,0.14780029501112713
1,25,3.432822347632092e-07,0.06334370923007238,-0.1478008439293863,0.21114455315945868,0.06334336594783761,0.14780050064715156
2,0,0.03925878611095046,0.17947643882802855,-0.28791573689556516,0.4673921757235937,0.1402176527170781,0.2486569507846147
2,1,0.03296452332921129,0.17367932460478674,-0.29537001298046506,0.4690493375852518,0.14071480127557545,0.26240548965125376
2,2,0.02768431697673901,0.1688145499604119,-0.30161955998516476,0.47043410994557666,0.1411302329836729,0.27393524300842576
2,3,0.023253371014071544,0.16473093888930213,-0.3068609540281335,0.47159189291743564,0.14147756787523058,0.28360758301406197
2,4,0.01953399610407458,0.16130224502853285,-0.31125858471966183,0.4725608297481947,0.14176824892445827,0.29172458861558725
2,5,0.016411111323905936,0.15842287129930388,-0.3149496619520227,0.47337253325132655,0.14201175997539794,0.29853855062811674
2,6,0.013788703276587544,0.1560044463651551,-0.31804803059673703,0.4740524769618921,0.14221574308856755,0.3042593273201495
2,7,0.011586120917273512,0.15397288165263068,-0.3206496541318933,0.47462253578452396,0.14238676073535717,0.30906353321461977
2,8,0.009735887317729897,0.15226611382535826,-0.32283464120006955,0.4751007550254278,0.14253022650762837,0.31309875388233965
2,9,0.008181525586915983,0.15083212292961012,-0.3246698682127038,0.47550199114231395,0.14265059734269414,0.31648834262578784
2,10,0.0068756720114480085,0.149627207584895,-0.32621124432659543,0.47583845191149043,0.142751535573447,0.3193355723151474
2,11,0.005778353853894247,0.14861469975880515,-0.32750645325756467,0.4761211530163698,0.1428363459049109,0.3217280994036704
2,12,0.004856275959683409,0.14776384345463645,-0.32859471486187375,0.4763585583165102,0.14290756749495304,0.32373843890219034
2,13,0.00408149380869971,0.14704881868533026,-0.3295089309034387,0.47655774958876895,0.14296732487663055,0.325427437094739
2,14,0.0034304002363213515,0.14644790700844657,-0.3302771155653039,0.4767250225737505,0.1430175067721252,0.3268467153289826
2,15,0.0028832288522252503,0.14594288430384528,-0.3309226338682214,0.4768655181720667,0.14305965545162003,0.32803940501599615
2,16,0.002423321462048156,0.14551843404046427,-0.33146527455425656,0.47698370859472083,0.14309511257841612,0.3290419530922084
2,17,0.0020368522096405606,0.1451617021041287,-0.33192113087749875,0.47708283298162746,0.14312484989448815,0.3298842786678582
2,18,0.0017120191890726,0.1448618572132958,-0.33230426953411496,0.47716612674741077,0.1431498380242232,0.33059225034504236
